,DC_TTS_Camila_Godoy,DC_TTS_Celeste_Arretche,DC_TTS_LucasDiaz,DC_TTS_MaxSignorini,DC_TTS_Miguel_Grassi,DC_TTS_NaomiBent,DC_TTS_SanMig,Fastpitch_MultiSpeaker,Fastpitch_ar,Fastpitch_esp,Fastpitch_esp2,Loquendo_f,PollyN_Fiona,PollyN_Pedro,Polly_Enrique,Polly_Lupe,Polly_Mia,Polly_Miguel,Polly_Penelope,Polly_conchita,Polly_enrique_GL,Speechelo_Albano,Speechelo_Fiore,Speechelo_olimpia,Speechelo_pricila,VTLPes-AR-Tomas,VTLPes-AR-TomasElena,VTLPes-BO-MarceloNeural,VTLPes-ES-ElviraNeural,azure_AR-Elena,azure_AR-Tomas,es-BO-MarceloNeural,es-BO-SofiaNeural,es-ES-AlvaroNeural,es-ES-ElviraNeural,es-MX-JorgeNeural,es_ar_librivox,neruas_f1_arg,neruas_f2_arg,neruas_m1_arg,neruas_m2_arg,open_srl_es_ar_female_1,open_srl_es_ar_female_2,open_srl_es_ar_male_1,open_srl_es_ar_male_1_GL,open_srl_es_ar_male_2,open_srl_es_ar_male_3,speecheloAI_Leticia,speecheloAI_Olimpia,speechelo_lalita,tiktok_m1,tiktok_m2,tts_dewhitte
PollyN_Pedro,0.0002614711590998617,1.0,1.0,1.0,1.0,0.002034215258290999,1.0,1.9578358972745038e-08,1.0,1.0,1.0,1.699072894763719e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18745131192487163,1.0,1.0,1.0,1.0,1.0,0.0011914973599452781,0.0011914973599452781,2.2900704913340233e-10,1.3906088103379927e-15,1.0,1.0,1.0,1.0,1.0,0.6191577364049438,1.0,4.368827110532725e-13,1.0,1.0,1.0,1.0,4.5829063258978926e-15,3.010090534950374e-16,1.4843438607625763e-14,6.151988656954412e-07,2.3962888922024725e-16,2.748756042316411e-16,1.0,1.0,1.0,1.0,1.0,4.8135953830673445e-11
Polly_Enrique,0.07327619682095052,1.0,1.0,1.0,1.0,0.2998648371711343,1.0,6.420573401827026e-05,1.0,1.0,1.0,0.006543053473612975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11886320202740129,0.11886320202740129,4.816071625192755e-07,1.2913320437083815e-11,0.3231461994569178,1.0,1.0,1.0,1.0,1.0,1.0,1.6566074368383643e-17,1.0,1.0,1.0,1.0,2.378328701032715e-19,9.522526106490989e-21,1.2539423996560335e-18,2.449433477779879e-10,8.661023659629666e-21,7.986595365742643e-21,1.0,1.0,1.0,1.0,1.0,1.7294800620989674e-07
Polly_Lupe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4752405636272719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01760967374245852,5.5334434479863216e-06,2.1648605645830383e-05,0.785865699290525,1.0,1.0,0.9132635253190763,1.0,0.02976453611096421,2.434234936859095e-28,1.0,1.0,1.0,1.0,1.4549011885895526e-29,1.6446902785982417e-31,2.9835842002467675e-28,8.860120946184796e-19,2.2822422734147083e-31,1.0729542208596252e-31,0.014733881915609424,1.0,1.0,1.0,1.0,0.012100563585623676
Polly_Mia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009486291571675786,1.0,1.0,1.0,0.26500693467265557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.84527303132601e-05,5.376466368394051e-09,0.009407157450795853,1.0,1.0,1.0,1.0,1.0,1.0,1.3226333479278702e-21,1.0,1.0,1.0,1.0,2.935847407119316e-23,7.357899358889046e-25,2.5187966662182667e-22,1.6080886083542526e-13,7.731723380646882e-25,5.651030521894305e-25,1.0,1.0,1.0,1.0,1.0,3.380681100153392e-05
Polly_Miguel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08093850430189155,1.0,1.0,1.0,0.41879271153055375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012867279722329921,2.223118669320008e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7421264826096004e-07,1.0,1.0,1.0,1.0,4.352257783319041e-09,1.2317594886162634e-09,4.609116759538151e-09,0.0006277812804495716,7.949242660458199e-10,1.346146382259489e-09,1.0,1.0,1.0,1.0,1.0,0.0010859252517104604
Polly_Penelope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7202356999134931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006432182043882883,1.6151842923332899e-06,0.00010999974359790996,1.0,1.0,1.0,1.0,1.0,0.09339138802377238,2.2747466418589922e-26,1.0,1.0,1.0,1.0,9.458249461056918e-28,1.3956749723007265e-29,1.4459743553855387e-26,2.7509985071153142e-17,1.757030550491256e-29,9.63548860681804e-30,0.05492386759499956,1.0,1.0,1.0,1.0,0.0042051928382280356
Polly_conchita,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06512687473817699,1.0,0.013791452803739978,1.0,1.0,0.18745131192487163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5153839533777407,0.0005273210031474177,2.9377094454348434e-07,0.06152662118844898,1.0,1.0,0.0478877318909838,1.0,0.0011273059297937278,3.6495678491991574e-32,0.12388093287062715,1.0,1.0,1.0,3.595305705316486e-33,2.8962590057384224e-35,1.0982061003048597e-31,5.605029575182449e-22,4.5663701707144916e-35,1.757370343025041e-35,0.00036134531614521233,1.0,1.0,1.0,1.0,0.4341979432155069
Polly_enrique_GL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037641521002464644,2.4512172539664215e-05,0.00020682997971290844,1.0,1.0,1.0,1.0,1.0,0.11051860599927624,7.940287053480145e-24,1.0,1.0,1.0,1.0,1.6715501391293812e-25,4.435595089518738e-27,1.3923099628140796e-24,9.129473541688955e-16,4.5665807034198034e-27,3.4539043156235715e-27,0.07374172187409456,1.0,1.0,1.0,1.0,0.028992138529039556
Speechelo_Albano,0.023241582623366872,1.0,1.0,1.0,1.0,0.10147917311136281,1.0,1.846165616712005e-05,1.0,1.0,1.0,0.002017719976286235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04192108516553909,0.04192108516553909,1.396710289555422e-07,3.953237612637385e-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0925691003908837e-14,1.0,1.0,1.0,1.0,1.1793996171453041e-16,7.39738718142351e-18,4.0458889727752726e-16,2.2415621445989057e-08,5.953229825532558e-18,6.711239845969884e-18,1.0,1.0,1.0,1.0,1.0,5.035466086190106e-08
Speechelo_Fiore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016550772138092515,6.729555331625433e-06,0.00013226913816425788,1.0,1.0,1.0,1.0,1.0,0.09296064010279985,2.917437480304707e-25,1.0,1.0,1.0,1.0,8.650316687492174e-27,1.6771696789824409e-28,9.9510603483704e-26,1.191374911082716e-16,1.9174027705817585e-28,1.2261537767341762e-28,0.057525892893399426,1.0,1.0,1.0,1.0,0.01181620256137104
